FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
P2.java,02.java,48.9796,60.2740,95.9172,68.3902,0
P2.java,O5.java,51.9231,65.8228,98.6038,72.1166,0
P2.java,P3.java,70.9091,70.2128,98.9155,80.0124,0
P2.java,U6.java,39.5833,50.7463,94.1029,61.4775,0
O10.java,P8.java,58.8235,61.7284,93.2956,71.2825,0
O10.java,P5.java,66.1538,74.0741,98.9862,79.7380,0
O10.java,U4.java,40.4255,51.5152,95.3996,62.4467,0
O10.java,U8.java,44.2308,53.3333,99.4263,65.6635,0
O10.java,U1.java,60.3448,68.8172,98.1602,75.7741,0
O10.java,U3.java,40.8163,53.6232,95.6254,63.3550,0
O10.java,U9.java,54.2857,64.8148,99.3933,72.8313,0
O10.java,O7.java,73.5849,80.4348,97.3610,83.7936,0
O10.java,O4.java,36.6972,46.9799,97.2507,60.3093,0
O10.java,U10.java,48.0769,57.1429,95.5792,66.9330,0
O10.java,01.java,44.6809,55.8824,90.3082,63.6238,0
O10.java,O8.java,51.9481,61.5385,97.5017,70.3294,0
O10.java,P9.java,44.8980,56.3380,91.7985,64.3448,0
O10.java,P6.java,55.7377,61.0526,96.7906,71.1936,0
O10.java,02.java,52.0000,57.8947,93.2957,67.7302,0
O10.java,O5.java,60.7843,70.7317,95.3998,75.6386,0
O10.java,P3.java,67.2414,70.1031,97.8232,78.3892,0
O10.java,U6.java,48.9362,57.1429,95.0708,67.0500,0
P8.java,P5.java,51.5625,55.6701,92.1824,66.4717,0
P8.java,U4.java,57.1429,72.7273,94.4340,74.7680,0
P8.java,U8.java,42.2222,56.2500,95.4427,64.6383,0
P8.java,U1.java,49.0909,63.4146,95.7813,69.4290,0
P8.java,U3.java,35.1064,48.8189,96.3619,60.0957,0
P8.java,U9.java,46.9697,57.7320,88.3247,64.3421,0
P8.java,O7.java,50.0000,61.7284,96.0735,69.2673,0
P8.java,O4.java,28.9720,43.4783,97.0114,56.4872,0
P8.java,U10.java,65.0000,69.6970,98.6870,77.7947,0
P8.java,01.java,54.0541,66.6667,96.2435,72.3214,0
P8.java,O8.java,43.2432,54.7170,90.4820,62.8141,0
P8.java,P9.java,53.8462,63.3333,98.6870,71.9555,0
P8.java,P6.java,64.7059,73.8095,97.2304,78.5820,0
P8.java,02.java,85.7143,89.2308,99.4672,91.4707,0
P8.java,O5.java,51.0638,61.9718,98.6064,70.5473,0
P8.java,P3.java,53.5714,60.4651,95.3025,69.7797,0
P8.java,U6.java,55.2632,61.0169,98.0581,71.4461,0
P5.java,U4.java,32.2581,39.0244,94.0902,55.1242,0
P5.java,U8.java,33.8235,43.9560,99.3180,59.0325,0
P5.java,U1.java,65.1515,62.3853,95.0257,74.1875,0
P5.java,U3.java,55.5556,68.8312,92.9593,72.4487,0
P5.java,U9.java,67.5676,70.9677,97.5137,78.6830,0
P5.java,O7.java,58.8235,68.5185,93.7332,73.6918,0
P5.java,O4.java,47.3214,55.7576,94.1149,65.7313,0
P5.java,U10.java,40.9091,49.4624,95.4291,61.9335,0
P5.java,01.java,33.3333,45.2381,85.5724,54.7146,0
P5.java,O8.java,68.3544,66.1654,94.5691,76.3630,0
P5.java,P9.java,33.8462,48.2759,91.3328,57.8183,0
P5.java,P6.java,58.5714,64.8649,97.0963,73.5109,0
P5.java,02.java,46.0317,50.0000,92.1479,62.7265,0
P5.java,O5.java,50.7692,63.2653,94.7589,69.5978,0
P5.java,P3.java,68.6567,74.3363,95.8970,79.6300,0
P5.java,U6.java,34.3750,48.8372,94.0902,59.1008,0
U4.java,U8.java,44.1176,57.1429,97.3329,66.1978,0
U4.java,U1.java,39.5833,50.7463,93.3376,61.2224,0
U4.java,U3.java,21.7391,35.7143,92.0528,49.8354,0
U4.java,U9.java,32.2581,46.3415,94.1531,57.5842,0
U4.java,O7.java,37.5000,48.4848,93.8083,59.9311,0
U4.java,O4.java,18.2692,30.8943,93.9336,47.6991,0
U4.java,U10.java,59.3750,74.5098,100.0000,77.9616,0
U4.java,01.java,68.0000,80.9524,93.8194,80.9239,0
U4.java,O8.java,28.1690,39.5604,92.7341,53.4879,0
U4.java,P9.java,45.1613,62.2222,100.0000,69.1278,0
U4.java,P6.java,40.8163,57.9710,95.0069,64.5981,0
U4.java,02.java,66.6667,76.0000,96.7769,79.8145,0
U4.java,O5.java,36.5854,53.5714,99.4937,63.2168,0
U4.java,P3.java,39.2157,50.7042,94.3005,61.4068,0
U4.java,U6.java,51.7241,68.1818,100.0000,73.3020,0
U8.java,U1.java,38.1818,50.0000,96.1120,61.4313,0
U8.java,U3.java,21.0000,34.7107,94.1130,49.9412,0
U8.java,U9.java,30.0000,43.9560,98.3838,57.4466,0
U8.java,O7.java,38.8889,50.6667,95.1432,61.5663,0
U8.java,O4.java,17.8571,30.3030,97.4944,48.5515,0
U8.java,U10.java,42.8571,56.6667,94.2954,64.6064,0
U8.java,01.java,45.7143,58.8235,88.9757,64.5045,0
U8.java,O8.java,26.5823,38.0000,95.4427,53.3417,0
U8.java,P9.java,58.8235,66.6667,97.3329,74.2743,0
U8.java,P6.java,34.4828,48.7179,97.4088,60.2032,0
U8.java,02.java,47.5000,54.2373,95.4427,65.7267,0
U8.java,O5.java,58.5366,73.8462,99.1457,77.1762,0
U8.java,P3.java,35.5932,52.5000,96.0355,61.3763,0
U8.java,U6.java,55.8824,60.3774,97.3329,71.1975,0
U1.java,U3.java,51.0870,61.8705,99.6800,70.8792,0
U1.java,U9.java,73.0159,80.7339,97.7652,83.8383,0
U1.java,O7.java,75.4717,77.4194,99.8700,84.2537,0
U1.java,O4.java,41.5094,57.3333,99.2093,66.0174,0
U1.java,U10.java,56.0000,61.5385,95.5792,71.0392,0
U1.java,01.java,46.8085,60.8696,95.8537,67.8439,0
U1.java,O8.java,61.6438,67.7966,98.8077,76.0827,0
U1.java,P9.java,35.8491,50.0000,95.5792,60.4761,0
U1.java,P6.java,54.8387,68.7500,95.8692,73.1526,0
U1.java,02.java,45.2830,59.7403,95.6681,66.8971,0
U1.java,O5.java,53.7037,65.0602,97.9912,72.2517,0
U1.java,P3.java,78.1818,73.4694,99.5446,83.7319,0
U1.java,U6.java,36.5385,50.7042,94.0753,60.4393,0
U3.java,U9.java,67.3913,72.7273,98.3598,79.4928,0
U3.java,O7.java,48.3871,60.8696,99.1876,69.4814,0
U3.java,O4.java,74.1071,70.7692,95.9102,80.2622,0
U3.java,U10.java,32.2581,47.1545,95.2381,58.2169,0
U3.java,01.java,23.9130,38.5965,94.8282,52.4459,0
U3.java,O8.java,71.5789,66.2577,98.6292,78.8219,0
U3.java,P9.java,19.3878,32.4786,94.7335,48.8666,0
U3.java,P6.java,45.3608,53.9007,94.1323,64.4646,0
U3.java,02.java,31.1828,44.2623,96.3619,57.2690,0
U3.java,O5.java,29.2929,45.3125,97.3038,57.3031,0
U3.java,P3.java,53.7634,67.1329,97.4651,72.7871,0
U3.java,U6.java,20.8333,32.7586,93.1552,48.9157,0
U9.java,O7.java,63.6364,74.0741,98.2855,78.6653,0
U9.java,O4.java,54.2056,64.2424,97.8700,72.1060,0
U9.java,U10.java,43.0769,55.9140,94.7419,64.5776,0
U9.java,01.java,33.3333,50.0000,91.8629,58.3987,0
U9.java,O8.java,79.7297,73.6842,98.4010,83.9383,0
U9.java,P9.java,27.9412,41.3793,94.7419,54.6875,0
U9.java,P6.java,56.3380,63.0631,96.6509,72.0173,0
U9.java,02.java,41.5385,54.3478,91.7711,62.5524,0
U9.java,O5.java,42.0290,57.1429,97.1537,65.4418,0
U9.java,P3.java,61.4286,67.2566,98.3949,75.6934,0
U9.java,U6.java,28.3582,41.8605,94.7623,54.9936,0
O7.java,O4.java,41.9048,53.6913,97.1909,64.2623,0
O7.java,U10.java,50.9804,59.7403,96.5098,69.0768,0
O7.java,01.java,44.6809,58.8235,96.6575,66.7206,0
O7.java,O8.java,58.1081,70.0855,99.4780,75.8905,0
O7.java,P9.java,36.5385,50.7042,96.5098,61.2508,0
O7.java,P6.java,55.7377,67.3684,94.9735,72.6932,0
O7.java,02.java,46.1538,57.8947,96.0154,66.6880,0
O7.java,O5.java,51.8519,65.8537,98.6038,72.1031,0
O7.java,P3.java,76.3636,74.2268,99.4988,83.3631,0
